lat,lon,object_class,geometry
52.8579998,-1.5383321,cooling_tower,POINT (-1.5383321 52.8579998)
52.8564576,-1.5406851,cooling_tower,POINT (-1.5406851 52.8564576)
52.8576626,-1.5396939,cooling_tower,POINT (-1.5396939 52.8576626)
52.8555427,-1.5403508,cooling_tower,POINT (-1.5403508 52.8555427)
52.8671728,-1.2598964,cooling_tower,POINT (-1.2598964 52.8671728)
51.1844407,12.3717241,cooling_tower,POINT (12.3717241 51.1844407)
51.1844365,12.3742037,cooling_tower,POINT (12.3742037 51.1844365)
48.9860439,22.1755523,cooling_tower,POINT (22.1755523 48.9860439)
52.2509987,104.2050590,cooling_tower,POINT (104.205059 52.2509987)
52.2504452,104.2040686,cooling_tower,POINT (104.2040686 52.2504452)
52.2510718,104.2031522,cooling_tower,POINT (104.2031522 52.2510718)
44.6320804,4.7508068,cooling_tower,POINT (4.7508068 44.6320804)
44.6301936,4.7516610,cooling_tower,POINT (4.751661 44.6301936)
49.1515576,6.7055890,cooling_tower,POINT (6.705589 49.1515576)
49.1494280,6.6995464,cooling_tower,POINT (6.6995464 49.149428)
49.1530800,6.7061532,cooling_tower,POINT (6.7061532 49.15308)
49.1539013,6.7055293,cooling_tower,POINT (6.7055293 49.1539013)
49.0855707,16.1580112,cooling_tower,POINT (16.1580112 49.0855707)
49.0879521,16.1377678,cooling_tower,POINT (16.1377678 49.0879521)
49.0874324,16.1396690,cooling_tower,POINT (16.139669 49.0874324)
49.0860763,16.1561061,cooling_tower,POINT (16.1561061 49.0860763)
49.0861959,16.1388989,cooling_tower,POINT (16.1388989 49.0861959)
49.0867031,16.1369974,cooling_tower,POINT (16.1369974 49.0867031)
49.0848405,16.1553374,cooling_tower,POINT (16.1553374 49.0848405)
45.9159527,22.8207923,cooling_tower,POINT (22.8207923 45.9159527)
45.9168367,22.8213143,cooling_tower,POINT (22.8213143 45.9168367)
51.4543534,21.9840715,cooling_tower,POINT (21.9840715 51.4543534)
51.4554015,21.9747787,cooling_tower,POINT (21.9747787 51.4554015)
51.4547527,21.9753780,cooling_tower,POINT (21.975378 51.4547527)
51.4582021,21.9824930,cooling_tower,POINT (21.982493 51.4582021)
51.4586640,21.9837576,cooling_tower,POINT (21.9837576 51.458664)
51.4551933,21.9832897,cooling_tower,POINT (21.9832897 51.4551933)
53.3315181,83.6112797,cooling_tower,POINT (83.6112797 53.3315181)
53.3325878,83.6114641,cooling_tower,POINT (83.61146410000001 53.3325878)
53.3325150,83.6127659,cooling_tower,POINT (83.6127659 53.332515)
51.4614844,21.9712533,cooling_tower,POINT (21.9712533 51.4614844)
-38.5286620,176.2931192,cooling_tower,POINT (176.2931192 -38.528662)
54.9997174,73.4943902,cooling_tower,POINT (73.4943902 54.9997174)
48.4978706,17.6861121,cooling_tower,POINT (17.6861121 48.4978706)
48.4986639,17.6844272,cooling_tower,POINT (17.6844272 48.4986639)
48.4969124,17.6849673,cooling_tower,POINT (17.6849673 48.4969124)
48.4978081,17.6833853,cooling_tower,POINT (17.6833853 48.4978081)
49.7118843,8.4200443,cooling_tower,POINT (8.420044300000001 49.7118843)
49.7116467,8.4185431,cooling_tower,POINT (8.418543100000001 49.7116467)
49.7105912,8.4109374,cooling_tower,POINT (8.4109374 49.7105912)
49.7109115,8.4123957,cooling_tower,POINT (8.412395699999999 49.7109115)
53.7412853,-0.9954556,cooling_tower,POINT (-0.9954556 53.7412853)
53.7403186,-0.9917647,cooling_tower,POINT (-0.9917647000000001 53.7403186)
53.7411851,-0.9933241,cooling_tower,POINT (-0.9933241 53.7411851)
53.7318855,-0.9960568,cooling_tower,POINT (-0.9960568 53.7318855)
53.7333799,-0.9983861,cooling_tower,POINT (-0.9983861000000001 53.7333799)
53.7323686,-0.9995665,cooling_tower,POINT (-0.9995665 53.7323686)
53.7331556,-0.9963931,cooling_tower,POINT (-0.9963931 53.7331556)
53.7399339,-0.9938061,cooling_tower,POINT (-0.9938061 53.7399339)
53.7408857,-0.9974961,cooling_tower,POINT (-0.9974961 53.7408857)
53.7311543,-0.9992644,cooling_tower,POINT (-0.9992644000000001 53.7311543)
53.7308757,-0.9972152,cooling_tower,POINT (-0.9972152 53.7308757)
53.7400718,-0.9959544,cooling_tower,POINT (-0.9959544 53.7400718)
39.7439686,33.4648114,cooling_tower,POINT (33.4648114 39.7439686)
39.7433865,33.4646652,cooling_tower,POINT (33.4646652 39.7433865)
51.6830489,7.9757772,cooling_tower,POINT (7.9757772 51.6830489)
51.6837353,7.9754107,cooling_tower,POINT (7.9754107 51.6837353)
51.6840024,7.9769744,cooling_tower,POINT (7.9769744 51.6840024)
-26.2583354,29.1781377,cooling_tower,POINT (29.1781377 -26.2583354)
-26.2576085,29.1796346,cooling_tower,POINT (29.1796346 -26.2576085)
-26.2519579,29.1742825,cooling_tower,POINT (29.1742825 -26.2519579)
-26.2512278,29.1757731,cooling_tower,POINT (29.1757731 -26.2512278)
46.5112455,24.5060544,cooling_tower,POINT (24.5060544 46.5112455)
46.5109060,24.5053733,cooling_tower,POINT (24.5053733 46.510906)
46.5105281,24.5046191,cooling_tower,POINT (24.5046191 46.5105281)
45.2529088,8.1913727,cooling_tower,POINT (8.191372700000001 45.2529088)
45.2538258,8.1929401,cooling_tower,POINT (8.1929401 45.2538258)
38.3460316,37.0253953,cooling_tower,POINT (37.0253953 38.3460316)
38.3463280,37.0266086,cooling_tower,POINT (37.0266086 38.346328)
38.3466006,37.0278174,cooling_tower,POINT (37.0278174 38.3466006)
38.3457645,37.0241979,cooling_tower,POINT (37.0241979 38.3457645)
51.7435421,19.4491194,cooling_tower,POINT (19.4491194 51.7435421)
40.6384200,109.7473515,cooling_tower,POINT (109.7473515 40.63842)
40.6604481,109.7607082,cooling_tower,POINT (109.7607082 40.6604481)
40.6376130,109.7477530,cooling_tower,POINT (109.747753 40.637613)
40.6563647,109.7554099,cooling_tower,POINT (109.7554099 40.6563647)
40.6442919,109.7522421,cooling_tower,POINT (109.7522421 40.6442919)
40.6590940,109.7533490,cooling_tower,POINT (109.753349 40.659094)
40.6596129,109.7613629,cooling_tower,POINT (109.7613629 40.6596129)
40.6552981,109.7561893,cooling_tower,POINT (109.7561893 40.6552981)
